Code,Area,Average Income 
E09000001,City of London,"128,000 "
E09000002,Barking and Dagenham,"29,400 "
E09000003,Barnet,"51,600 "
E09000004,Bexley,"36,000 "
E09000005,Brent,"37,800 "
E09000006,Bromley,"48,200 "
E09000007,Camden,"96,900 "
E09000008,Croydon,"37,800 "
E09000009,Ealing,"42,700 "
E09000010,Enfield,"39,500 "
E09000011,Greenwich,"44,700 "
E09000012,Hackney,"47,200 "
E09000013,Hammersmith and Fulham,"75,900 "
E09000014,Haringey,"48,600 "
E09000015,Harrow,"41,500 "
E09000016,Havering,"38,100 "
E09000017,Hillingdon,"37,300 "
E09000018,Hounslow,"41,700 "
E09000019,Islington,"66,100 "
E09000020,Kensington and Chelsea,"185,000 "
E09000021,Kingston-upon-Thames,"50,500 "
E09000022,Lambeth,"49,100 "
E09000023,Lewisham,"41,100 "
E09000024,Merton,"55,300 "
E09000025,Newham,"31,700 "
E09000026,Redbridge,"38,500 "
E09000027,Richmond-upon-Thames,"77,400 "
E09000028,Southwark,"53,400 "
E09000029,Sutton,"40,200 "
E09000030,Tower Hamlets,"50,100 "
E09000031,Waltham Forest,"34,900 "
E09000032,Wandsworth,"72,400 "
E09000033,Westminster,"118,000 "
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
