Area,Income 
City of London,128000
Barking and Dagenham,29400
Barnet,51600
Bexley,36000
Brent,37800
Bromley,48200
Camden,96900
Croydon,37800
Ealing,42700
Enfield,39500
Greenwich,44700
Hackney,47200
Hammersmith and Fulham,75900
Haringey,48600
Harrow,41500
Havering,38100
Hillingdon,37300
Hounslow,41700
Islington,66100
Kensington and Chelsea,185000
Kingston upon Thames,50500
Lambeth,49100
Lewisham,41100
Merton,55300
Newham,31700
Redbridge,38500
Richmond upon Thames,77400
Southwark,53400
Sutton,40200
Tower Hamlets,50100
Waltham Forest,34900
Wandsworth,72400
Westminster,118000
