,latitude,longitude,Cluster
0,36.7347725,70.8119953,0
1,35.1671339,63.7695384,0
2,36.1789026,68.7453064,0
3,36.7550603,66.8975372,0
4,34.8100067,67.8212104,0
5,33.669495,66.0463534,0
6,32.495328,62.2626627,0
7,36.0795613,64.905955,0
8,33.5450587,68.4173972,0
9,34.0995776,64.905955,0
10,39.2989361,-76.6160472,1
11,34.352865,62.2040287,0
12,36.8969692,65.6658568,0
13,34.5553494,69.207486,0
14,31.628871,65.7371749,0
15,34.9810572,69.6214562,0
16,33.3338472,69.9371673,0
17,34.8465893,71.097317,0
18,36.7285511,68.8678982,0
19,34.6897687,70.1455805,0
20,34.0145518,69.1923916,0
21,34.1718313,70.6216794,0
22,31.0261488,62.4504154,0
23,35.3250223,70.9071236,0
24,33.706199,69.3831079,0
25,32.2645386,68.5247149,0
26,38.8802391,-77.1717238,1
27,34.9630977,68.8108849,0
28,36.3155506,67.9642863,0
29,36.216628,65.93336,0
30,36.6698013,69.4784541,0
31,32.9271287,66.1415263,0
32,32.1918782,67.1894488,0
33,40.6953012,20.0449662,4
34,40.7086377,19.9437314,4
35,41.4942587,20.2147157,4
36,39.9481364,20.0955891,4
37,40.6447347,20.9506636,4
38,41.5888163,20.2355647,4
39,41.5888163,20.2355647,4
40,41.5080972,19.6163185,4
41,41.3706517,19.5211063,4
42,41.1266672,20.2355647,4
43,40.9191392,19.6639309,4
44,40.727504,19.5627596,4
45,40.0672874,20.1045229,4
46,40.0672874,20.1045229,4
47,40.8669873,20.1849323,4
48,42.7901336,-83.6122012,1
49,41.1844529,19.5627596,4
50,40.3373262,20.6794676,4
51,40.590567,20.6168921,4
52,40.590567,20.6168921,4
53,41.5094765,19.7710732,4
54,40.7837063,19.8782348,4
55,42.0807464,20.4142923,4
56,42.0807464,20.4142923,4
57,41.6412644,19.705595,4
58,41.7813759,19.8067916,4
59,41.786073,19.6460758,4
60,41.1829232,20.3174769,4
61,40.941983,19.6996428,4
62,42.4245173,19.6163185,4
63,40.5273376,19.7829791,4
64,41.5937675,19.9973244,4
65,41.764286,19.9020509,4
66,41.0470902,19.7502384,4
67,40.2361837,20.3517334,4
68,40.9015314,20.6556289,4
69,42.0469772,19.8960968,4
70,39.8592119,20.0271001,4
71,42.150371,19.6639309,4
72,42.0692985,19.5032559,4
73,40.5349946,20.2832217,4
74,40.2966632,20.0181673,4
75,41.2427598,19.8067916,4
76,41.3275459,19.8186982,4
77,42.3982151,20.1625955,4
78,40.150096,19.8067916,4
79,40.4660668,19.491356,4
80,26.418131,-0.6014717,4
81,36.2509429,1.9393815,4
82,35.2992698,-1.1392792,4
83,36.6997294,3.0576199,4
84,36.8020508,7.5247243,4
85,35.5965954,5.8987139,4
86,31.6238098,-2.2162443,4
87,36.7515258,5.0556837,4
88,30.0831042,-2.8345052,4
89,34.8449437,5.7248567,4
90,36.531123,2.8976254,4
91,22.966335,-3.9472732,4
92,36.0739925,4.7630271,4
93,36.3691846,3.9006194,4
94,36.6839559,3.6217802,4
95,36.1693515,1.2891036,4
96,36.3373911,6.663812,4
97,23.8310872,8.7004672,4
98,34.6703956,3.2503761,4
99,32.7148824,0.9056623,4
100,33.9540561,5.1346418,4
101,31.364225,2.5784495,4
102,33.367811,6.8516511,4
103,36.7576678,8.3076343,4
104,32.4943741,3.64446,4
105,36.4627444,7.4330833,4
106,26.1690005,8.4842465,4
107,20.3864323,4.7789394,3
108,27.2149229,1.8484396,4
109,36.7179681,5.9832577,4
110,35.4269404,7.1460155,4
111,33.8078341,2.8628294,4
112,35.7186646,4.5233423,4
113,35.3904125,0.1494988,4
114,36.2637078,2.7587857,4
115,36.3647957,6.1526985,4
116,35.9583054,0.3371889,4
117,33.2667317,-0.3128659,4
118,35.6082351,-0.563609,4
119,32.2264863,5.7299821,4
120,34.4178221,4.9685843,4
121,35.8688789,7.1108266,4
122,35.7383405,0.7532809,4
123,34.8415207,0.1456055,4
124,36.3073389,5.5617279,4
125,34.6806024,-1.0999495,4
126,36.6721198,6.8350999,4
127,36.2801062,7.9384033,4
128,22.7902972,5.5193268,4
129,35.1290691,7.9592863,4
130,35.3708689,1.3217852,4
131,29.678906,0.5004608,4
132,27.8063119,-5.7299821,4
133,36.546265,2.1843285,4
134,35.6053781,1.813098,4
135,36.706911,4.2333355,4
136,34.6780284,-1.366216,4
137,33.1248476,5.7832715,4
138,42.5063174,1.5218355,4
139,42.5978249,1.6566377,4
140,42.5359764,1.5836773,4
141,42.4909379,1.5886966,4
142,42.545625,1.5147392,4
143,42.5994433,1.5402327,4
144,42.4529631,1.4918235,4
145,-9.1042257,13.7289167,3
146,-12.8003744,13.914399,3
147,-12.5727907,17.668887,3
148,-5.0248749,12.3463875,3
149,-16.4180824,18.8076195,3
150,-9.2398513,14.6587821,3
151,-10.595191,15.4068079,3
152,-16.2802221,16.1580937,3
153,-12.5268221,15.5943388,3
154,-14.9280553,14.6587821,3
155,-9.035088,13.2663479,3
156,-8.3525022,19.1880047,3
157,-10.2866578,20.7122465,3
158,-9.8251183,16.912251,3
159,-13.4293579,20.3308814,3
160,-7.1736732,15.4068079,3
161,-6.5733458,13.1740348,3
162,17.6266242,-61.7713028,5
163,16.938416,-62.3455148,5
169,40.4368258,-80.0685532,1
170,-34.6036844,-58.3815591,5
171,-37.2017285,-59.8410697,5
172,-28.4715877,-65.7877209,5
173,-27.4257175,-59.0243784,5
174,-43.2934246,-65.1114818,5
176,-27.4692131,-58.8306349,5
177,-31.7746654,-60.4956461,5
178,-26.1894804,-58.2242806,5
179,-24.1843397,-65.302177,5
180,-36.6147573,-64.2839209,5
181,-29.4193793,-66.8559932,5
182,-32.8894587,-68.8458386,5
183,-27.4269255,-55.9467076,5
184,-38.94587,-68.0730925,5
185,-40.8261434,-63.0266339,5
186,-24.7997688,-65.4150367,5
188,-33.2962042,-66.3294948,5
189,-51.6352821,-69.2474353,5
190,-31.5855109,-60.7238016,5
191,-27.7833574,-64.264167,5
192,-54.8053998,-68.3242061,5
193,-26.8221127,-65.2192903,5
194,40.3347301,44.3748296,0
195,39.9139415,44.7200004,0
196,40.1554631,44.0372446,0
197,40.3526426,45.1260414,0
