Constituency,Region,Country,Winner,Majority,Degree,share,%
Aberconwy,Wales,Wales,Con,2034,27.1,0.460913228,46.09132277
Aldershot,South East,England,Con,16698,25,0.583743637,58.37436368
Aldridge-Brownhills,West Midlands,England,Con,19836,20.5,0.707894871,70.78948706
Altrincham and Sale West,North West,England,Con,6139,40.3,0.48045213,48.04521301
Amber Valley,East Midlands,England,Con,16886,18.7,0.638532271,63.85322712
Arundel and South Downs,South East,England,Con,22521,33,0.579175352,57.91753517
Ashfield,East Midlands,England,Con,5733,14.6,0.392629645,39.26296448
Ashford,South East,England,Con,24029,24.3,0.620556453,62.05564528
Aylesbury,South East,England,Con,17373,30,0.540428553,54.04285526
Banbury,South East,England,Con,16813,27.3,0.54271229,54.271229
Banff and Buchan,Scotland,Scotland,Con,4118,18.6,0.501230478,50.1230478
Barrow and Furness,North West,England,Con,5789,22.3,0.518524953,51.85249533
Basildon and Billericay,East,England,Con,20412,20.6,0.670549311,67.05493111
Basingstoke,South East,England,Con,14198,28,0.54087694,54.08769397
Bassetlaw,East Midlands,England,Con,14013,19.8,0.552270805,55.22708051
Beaconsfield,South East,England,Con,15712,37,0.561225548,56.12255478
Beckenham,London,England,Con,14258,35.5,0.539649886,53.96498863
"Berwickshire, Roxburgh and Selkirk",Scotland,Scotland,Con,5148,25,0.484457908,48.44579084
Berwick-Upon-Tweed,North East,England,Con,14835,25.9,0.568690779,56.86907787
Beverley and Holderness,Yorkshire and The Humber,England,Con,20448,27.3,0.621007807,62.1007807
Bexhill and Battle,South East,England,Con,26059,25.9,0.636115953,63.61159528
Bexleyheath and Crayford,London,England,Con,13103,20.3,0.597881885,59.7881885
"Birmingham, Northfield",West Midlands,England,Con,1640,19.6,0.463060931,46.30609309
Bishop Auckland,North East,England,Con,7962,20,0.537149872,53.71498717
Blackpool North and Cleveleys,North West,England,Con,8596,17.6,0.576332337,57.63323369
Blackpool South,North West,England,Con,3690,14.6,0.496061309,49.60613092
Blyth Valley,North East,England,Con,712,18.7,0.426833745,42.68337453
Bognor Regis and Littlehampton,South East,England,Con,22503,20.1,0.634890576,63.48905765
Bolsover,East Midlands,England,Con,5299,16.3,0.474356742,47.43567417
Bolton North East,North West,England,Con,378,21.7,0.453645881,45.36458812
Bolton West,North West,England,Con,8855,27.3,0.552862185,55.28621851
Boston and Skegness,East Midlands,England,Con,25621,14.4,0.766572333,76.65723331
Bosworth,East Midlands,England,Con,26278,23.7,0.638928268,63.89282676
Bournemouth East,South West,England,Con,8806,28.1,0.505865162,50.58651622
Bournemouth West,South West,England,Con,10150,23.4,0.533962633,53.39626335
Bracknell,South East,England,Con,19829,30.5,0.586826127,58.6826127
Braintree,East,England,Con,24673,22,0.675498525,67.54985247
Brecon and Radnorshire,Wales,Wales,Con,7131,27.8,0.53142622,53.14262204
Brentwood and Ongar,East,England,Con,29065,28.7,0.685716444,68.57164441
Bridgend,Wales,Wales,Con,1157,26.6,0.430746283,43.07462828
Bridgwater and West Somerset,South West,England,Con,24439,21.7,0.62143551,62.14355096
Brigg and Goole,Yorkshire and The Humber,England,Con,21941,20.6,0.712893415,71.2893415
Broadland,East,England,Con,21861,24,0.595573653,59.55736525
Bromley and Chislehurst,London,England,Con,10891,33.1,0.525786771,52.57867708
Bromsgrove,West Midlands,England,Con,23106,30.5,0.633991745,63.39917453
Broxbourne,East,England,Con,19807,19.9,0.655825804,65.5825804
Broxtowe,East Midlands,England,Con,5331,30.3,0.481292517,48.1292517
Buckingham,South East,England,Con,20411,35.7,0.583614359,58.36143591
Burnley,North West,England,Con,1352,18.7,0.403242356,40.32423558
Burton,West Midlands,England,Con,14496,22,0.606508269,60.65082687
Bury North,North West,England,Con,105,26.1,0.462415405,46.24154053
Bury South,North West,England,Con,402,25.3,0.438278235,43.82782353
Bury St Edmunds,East,England,Con,24988,26.4,0.609616347,60.96163468
Calder Valley,Yorkshire and The Humber,England,Con,5774,29.9,0.518765248,51.87652484
Camborne and Redruth,South West,England,Con,8700,22.2,0.531379673,53.13796732
Cannock Chase,West Midlands,England,Con,19879,17.2,0.683091141,68.30911407
Carlisle,North West,England,Con,8319,20.9,0.551839153,55.18391528
Carmarthen West and South Pembrokeshire,Wales,Wales,Con,7745,25,0.526736952,52.67369521
Carshalton and Wallington,London,England,Con,629,27.2,0.424090594,42.40905943
Castle Point,East,England,Con,26634,14.6,0.767238069,76.72380694
Central Devon,South West,England,Con,17721,30.9,0.552675988,55.26759884
Central Suffolk and North Ipswich,East,England,Con,23391,26.7,0.62672,62.672
Charnwood,East Midlands,England,Con,22397,26.3,0.634353834,63.43538336
Chatham and Aylesford,South East,England,Con,18540,18.1,0.665805261,66.58052607
Cheadle,North West,England,Con,2336,36.7,0.459617552,45.96175518
Chelmsford,East,England,Con,17621,29.6,0.559049053,55.90490529
Chelsea and Fulham,London,England,Con,11241,53.7,0.498601055,49.86010551
Cheltenham,South West,England,Con,981,36.7,0.479909699,47.99096989
Chesham and Amersham,South East,England,Con,16223,41,0.554009159,55.40091587
Chichester,South East,England,Con,21490,32.4,0.5780579,57.80579005
Chingford and Woodford Green,London,England,Con,1262,29.4,0.484703988,48.47039881
Chippenham,South West,England,Con,11288,29.9,0.542811608,54.28116079
Chipping Barnet,London,England,Con,1212,39.3,0.447202487,44.72024874
Christchurch,South West,England,Con,24617,24.9,0.652422475,65.2422475
Cities Of London and Westminster,London,England,Con,3953,54.5,0.399059055,39.90590548
Clacton,East,England,Con,24702,13.4,0.722612973,72.26129729
Cleethorpes,Yorkshire and The Humber,England,Con,21418,19,0.689894042,68.98940417
Clwyd South,Wales,Wales,Con,1239,22.3,0.446813199,44.68131989
Clwyd West,Wales,Wales,Con,6747,25.9,0.50749944,50.74994403
Colchester,East,England,Con,9423,26.9,0.504318663,50.4318663
Colne Valley,Yorkshire and The Humber,England,Con,5103,29.8,0.484168692,48.41686921
Congleton,North West,England,Con,18561,31,0.589642339,58.96423392
Copeland,North West,England,Con,5842,23.1,0.537497354,53.74973544
Corby,East Midlands,England,Con,10268,20.7,0.552459694,55.24596941
Crawley,South East,England,Con,8360,21.5,0.541894627,54.18946271
Crewe and Nantwich,North West,England,Con,8508,24.2,0.531240746,53.12407462
Croydon South,London,England,Con,12339,35.3,0.522002089,52.2002089
Darlington,North East,England,Con,3294,22,0.480504851,48.05048508
Dartford,South East,England,Con,19160,22.3,0.629472632,62.9472632
Daventry,East Midlands,England,Con,26080,28.6,0.645523753,64.55237531
Delyn,Wales,Wales,Con,865,23.8,0.436695335,43.66953349
Derby North,East Midlands,England,Con,2540,26.9,0.452155603,45.21556033
Derbyshire Dales,East Midlands,England,Con,17381,19.3,0.586932182,58.69321817
Devizes,South West,England,Con,23993,28.5,0.630961259,63.09612592
Dewsbury,Yorkshire and The Humber,England,Con,1561,22.6,0.464257213,46.42572133
Don Valley,Yorkshire and The Humber,England,Con,3630,14.3,0.431564584,43.15645839
Dover,South East,England,Con,12278,20.7,0.568627838,56.86278377
Dudley North,West Midlands,England,Con,11533,17,0.630629157,63.06291571
Dudley South,West Midlands,England,Con,15565,17.2,0.678997157,67.89971566
Dumfries and Galloway,Scotland,Scotland,Con,1805,22,0.440957436,44.09574365
"Dumfriesshire, Clydesdale and Tweeddale",Scotland,Scotland,Con,3781,24.8,0.460012614,46.00126137
Eastbourne,South East,England,Con,4331,31.1,0.488827221,48.8827221
East Devon,South West,England,Con,6708,38.3,0.508435691,50.84356905
East Hampshire,South East,England,Con,19696,22.5,0.58785482,58.78548203
Eastleigh,South East,England,Con,15607,27,0.554340269,55.43402689
East Surrey,South East,England,Con,24040,22.9,0.596816887,59.68168873
East Worthing and Shoreham,South East,England,Con,7474,24.4,0.510220599,51.02205993
East Yorkshire,Yorkshire and The Humber,England,Con,22787,26,0.64409028,64.40902803
Eddisbury,North West,England,Con,18443,30,0.568141058,56.81410583
Elmet and Rothwell,Yorkshire and The Humber,England,Con,17353,27.6,0.579235723,57.92357235
Epping Forest,East,England,Con,22173,26.3,0.643829076,64.38290762
Epsom and Ewell,South East,England,Con,17873,36.4,0.535213874,53.52138736
Erewash,East Midlands,England,Con,10606,18.9,0.564592125,56.45921252
Esher and Walton,South East,England,Con,2743,42.8,0.493500729,49.35007292
Fareham,South East,England,Con,26086,29.5,0.636838428,63.68384279
Faversham and Mid Kent,South East,England,Con,21976,25.3,0.632297496,63.22974957
Filton and Bradley Stoke,South West,England,Con,5646,29.6,0.489153892,48.91538919
Finchley and Golders Green,London,England,Con,6562,46.5,0.438440182,43.84401822
Folkestone and Hythe,South East,England,Con,21337,22.2,0.601355817,60.13558173
Forest Of Dean,South West,England,Con,15869,24.6,0.596017484,59.60174842
Fylde,North West,England,Con,16611,30,0.609357252,60.93572515
Gainsborough,East Midlands,England,Con,22967,25.2,0.663969753,66.39697528
Gedling,East Midlands,England,Con,679,24.3,0.4547875,45.47875003
Gillingham and Rainham,South East,England,Con,15119,19.1,0.613016232,61.30162322
Gloucester,South West,England,Con,10277,21.8,0.54235176,54.23517595
Gosport,South East,England,Con,23278,23,0.665098136,66.50981363
Grantham and Stamford,East Midlands,England,Con,26003,24.8,0.657000518,65.70005178
Gravesham,South East,England,Con,15581,20,0.62195122,62.19512195
Great Grimsby,Yorkshire and The Humber,England,Con,7331,14.5,0.548553813,54.85538127
Great Yarmouth,East,England,Con,17663,14.2,0.657885049,65.7885049
Guildford,South East,England,Con,3337,40.6,0.448705052,44.87050519
Halesowen and Rowley Regis,West Midlands,England,Con,12074,19,0.604723108,60.47231078
Haltemprice and Howden,Yorkshire and The Humber,England,Con,20329,30.8,0.623656562,62.3656562
Harborough,East Midlands,England,Con,17278,27.7,0.553010346,55.30103456
Harlow,East,England,Con,14063,18.4,0.634543525,63.45435254
Harrogate and Knaresborough,Yorkshire and The Humber,England,Con,9675,34.7,0.526230746,52.62307463
Harrow East,London,England,Con,8170,32.7,0.544240367,54.42403669
Harwich and North Essex,East,England,Con,20182,24.3,0.612551238,61.25512384
Hastings and Rye,South East,England,Con,4043,21.8,0.495559568,49.55595681
Havant,South East,England,Con,21792,22.2,0.653865402,65.38654018
Hazel Grove,North West,England,Con,4423,27.9,0.487745375,48.77453749
Hemel Hempstead,East,England,Con,14563,26.1,0.564997757,56.4997757
Hendon,London,England,Con,4230,35.2,0.48802542,48.80254199
Henley,South East,England,Con,14053,38.7,0.547813952,54.78139519
Hereford and South Herefordshire,West Midlands,England,Con,19686,25.2,0.612133908,61.21339081
Hertford and Stortford,East,England,Con,19620,33.9,0.560987786,56.09877858
Hertsmere,East,England,Con,21313,30.8,0.625462138,62.54621382
Hexham,North East,England,Con,10549,35.9,0.545005417,54.50054171
Heywood and Middleton,North West,England,Con,663,19.8,0.430698282,43.06982817
High Peak,East Midlands,England,Con,590,29.4,0.45860484,45.860484
Hitchin and Harpenden,East,England,Con,6895,43.1,0.47084303,47.08430297
Hornchurch and Upminster,London,England,Con,23308,20,0.657631452,65.76314522
Horsham,South East,England,Con,21127,32.2,0.567660732,56.76607318
Huntingdon,East,England,Con,19383,28.5,0.547551017,54.7551017
Hyndburn,North West,England,Con,2951,19.5,0.484954959,48.49549592
Ipswich,East,England,Con,5479,21.8,0.503277597,50.32775974
Isle Of Wight,South East,England,Con,23737,22.6,0.561712474,56.17124741
Keighley,Yorkshire and The Humber,England,Con,2218,26.7,0.48095057,48.09505703
Kenilworth and Southam,West Midlands,England,Con,20353,38,0.577048121,57.70481206
Kensington,London,England,Con,150,52.2,0.383163475,38.31634752
Kettering,East Midlands,England,Con,16765,23.3,0.603452118,60.34521181
Kingswood,South West,England,Con,11220,22.2,0.561949953,56.19499534
Leigh,North West,England,Con,1965,20.2,0.452670342,45.26703421
Lewes,South East,England,Con,2457,31.4,0.478897377,47.88973765
Lichfield,West Midlands,England,Con,23638,29.3,0.645342915,64.53429148
Lincoln,East Midlands,England,Con,3514,21.9,0.479310277,47.93102767
Loughborough,East Midlands,England,Con,7169,27.6,0.511687503,51.16875034
