Constituency,Region,Country,Winner,Majority,Degree,share,%
Aberavon,Wales,Wales,Lab,10490,16.6,0.538261915,53.82619153
Alyn and Deeside,Wales,Wales,Lab,213,21.3,0.424827939,42.4827939
Ashton-Under-Lyne,North West,England,Lab,4263,15.4,0.480676015,48.06760154
Barking,London,England,Lab,15427,21.8,0.611676667,61.16766669
Barnsley Central,Yorkshire and The Humber,England,Lab,3571,17.1,0.401159797,40.11597973
Barnsley East,Yorkshire and The Humber,England,Lab,3217,14.8,0.376385605,37.63856055
Batley and Spen,Yorkshire and The Humber,England,Lab,3525,19.2,0.455007753,45.5007753
Battersea,London,England,Lab,5668,57.4,0.433204372,43.3204372
Bedford,East,England,Lab,145,25.1,0.541209588,54.1209588
Bermondsey and Old Southwark,London,England,Lab,16126,44.5,0.72738681,72.73868102
Bethnal Green and Bow,London,England,Lab,37524,39.6,0.590375393,59.03753928
Birkenhead,North West,England,Lab,17705,19.9,0.502994692,50.29946919
"Birmingham, Edgbaston",West Midlands,England,Lab,5614,32.4,0.678289959,67.82899586
"Birmingham, Erdington",West Midlands,England,Lab,3601,16.8,0.786547563,78.65475635
"Birmingham, Hall Green",West Midlands,England,Lab,28508,27,0.791941688,79.19416876
"Birmingham, Hodge Hill",West Midlands,England,Lab,28655,12.1,0.630982039,63.09820391
"Birmingham, Ladywood",West Midlands,England,Lab,28582,24.9,0.560252289,56.02522894
"Birmingham, Perry Barr",West Midlands,England,Lab,15317,19.2,0.547799803,54.77998032
"Birmingham, Selly Oak",West Midlands,England,Lab,12414,26.9,0.649141631,64.91416309
"Birmingham, Yardley",West Midlands,England,Lab,10659,16,0.618545756,61.85457559
Blackburn,North West,England,Lab,18304,18.1,0.491809789,49.18097885
Blackley and Broughton,North West,England,Lab,14402,19.8,0.433309253,43.33092533
Blaenau Gwent,Wales,Wales,Lab,8647,15.2,0.529898532,52.98985322
Blaydon,North East,England,Lab,5531,23,0.794444218,79.44442185
Bolton South East,North West,England,Lab,7598,16.4,0.629752852,62.97528517
Bootle,North West,England,Lab,34556,16.5,0.462746282,46.27462822
Bradford East,Yorkshire and The Humber,England,Lab,18144,15.7,0.762206005,76.22060053
Bradford South,Yorkshire and The Humber,England,Lab,2346,16.1,0.646808597,64.68085972
Bradford West,Yorkshire and The Humber,England,Lab,27019,19.7,0.501765936,50.17659363
Brent Central,London,England,Lab,20870,29.8,0.518726267,51.87262669
