Parliamentary Constituency,Country,Degree,Total_Mean_Income
Aberavon,Wales,16.6,27800
Aberconwy,Wales,27.1,28900
Aberdeen North,Scotland,29,33900
Aberdeen South,Scotland,40.3,45500
Airdrie and Shotts,Scotland,15.5,28700
Aldershot,England,25,34300
Aldridge-Brownhills,England,20.5,32100
Altrincham and Sale West,England,40.3,53700
Alyn and Deeside,Wales,21.3,29800
Amber Valley,England,18.7,30000
Angus,Scotland,21,32400
Arfon,Wales,27.9,28700
Argyll and Bute,Scotland,28.9,32800
Arundel and South Downs,England,33,46300
Ashfield,England,14.6,28400
Ashford,England,24.3,35800
Ashton-under-Lyne,England,15.4,26200
Aylesbury,England,30,38900
"Ayr, Carrick and Cumnock",Scotland,21,30200
Banbury,England,27.3,37700
Banff and Buchan,Scotland,18.6,33200
Barking,England,21.8,29500
Barnsley Central,England,17.1,27000
Barnsley East,England,14.8,26500
Barrow and Furness,England,22.3,30300
Basildon and Billericay,England,20.6,38500
Basingstoke,England,28,35300
Bassetlaw,England,19.8,30000
Bath,England,38,41200
Batley and Spen,England,19.2,29000
Battersea,England,57.4,81700
Beaconsfield,England,37,63100
Beckenham,England,35.5,49300
Bedford,England,25.1,31600
Belfast East,Northern Ireland,27.4,32900
Belfast North,Northern Ireland,18.7,26900
Belfast South,Northern Ireland,39,38200
Belfast West,Northern Ireland,15,25200
Bermondsey and Old Southwark,England,44.5,56200
"Berwickshire, Roxburgh and Selkirk",Scotland,25,29800
Berwick-upon-Tweed,England,25.9,30000
Bethnal Green and Bow,England,39.6,44300
Beverley and Holderness,England,27.3,32300
Bexhill and Battle,England,25.9,35000
Bexleyheath and Crayford,England,20.3,35000
Birkenhead,England,19.9,29700
"Birmingham, Edgbaston",England,32.4,38900
"Birmingham, Erdington",England,16.8,26200
"Birmingham, Hall Green",England,27,32000
"Birmingham, Hodge Hill",England,12.1,24900
"Birmingham, Ladywood",England,24.9,28700
"Birmingham, Northfield",England,19.6,28500
"Birmingham, Perry Barr",England,19.2,26400
"Birmingham, Selly Oak",England,26.9,31200
"Birmingham, Yardley",England,16,26400
Bishop Auckland,England,20,29800
Blackburn,England,18.1,26800
Blackley and Broughton,England,19.8,27200
Blackpool North and Cleveleys,England,17.6,25800
Blackpool South,England,14.6,25000
Blaenau Gwent,Wales,15.2,24900
Blaydon,England,23,29600
Blyth Valley,England,18.7,26700
Bognor Regis and Littlehampton,England,20.1,29100
Bolsover,England,16.3,28000
Bolton North East,England,21.7,28200
Bolton South East,England,16.4,26000
Bolton West,England,27.3,34400
Bootle,England,16.5,27000
Boston and Skegness,England,14.4,25700
Bosworth,England,23.7,34000
Bournemouth East,England,28.1,32800
Bournemouth West,England,23.4,30800
Bracknell,England,30.5,39400
Bradford East,England,15.7,27200
Bradford South,England,16.1,25900
Bradford West,England,19.7,27000
Braintree,England,22,36100
Brecon and Radnorshire,Wales,27.8,30800
Brent Central,England,29.8,35300
Brent North,England,32.9,33100
Brentford and Isleworth,England,42.8,53100
Brentwood and Ongar,England,28.7,53500
Bridgend,Wales,26.6,31700
Bridgwater and West Somerset,England,21.7,29900
Brigg and Goole,England,20.6,31500
"Brighton, Kemptown",England,27,34500
"Brighton, Pavilion",England,40.4,37600
Bristol East,England,23.1,29300
Bristol North West,England,32.4,35900
Bristol South,England,24.3,29900
Bristol West,England,47.2,40600
Broadland,England,24,33400
Bromley and Chislehurst,England,33.1,51100
Bromsgrove,England,30.5,41600
Broxbourne,England,19.9,38800
Broxtowe,England,30.3,33200
Buckingham,England,35.7,48000
Burnley,England,18.7,27300
Burton,England,22,31500
Bury North,England,26.1,31300
Bury South,England,25.3,32600
Bury St Edmunds,England,26.4,33800
Caerphilly,Wales,20.6,29500
"Caithness, Sutherland and Easter Ross",Scotland,21.1,33000
Calder Valley,England,29.9,34500
Camberwell and Peckham,England,37.6,41600
Camborne and Redruth,England,22.2,26500
Cambridge,England,46.8,44200
Cannock Chase,England,17.2,29600
Canterbury,England,29.7,37000
Cardiff Central,Wales,33.5,33000
Cardiff North,Wales,37.4,37300
Cardiff South and Penarth,Wales,29.4,32000
Cardiff West,Wales,31.6,35500
Carlisle,England,20.9,29100
Carmarthen East and Dinefwr,Wales,25.9,29400
Carmarthen West and South Pembrokeshire,Wales,25,29800
Carshalton and Wallington,England,27.2,37900
Castle Point,England,14.6,34700
Central Ayrshire,Scotland,21.5,32100
Central Devon,England,30.9,33700
Central Suffolk and North Ipswich,England,26.7,36400
Ceredigion,Wales,27.9,28500
Charnwood,England,26.3,35800
Chatham and Aylesford,England,18.1,32000
Cheadle,England,36.7,39600
Chelmsford,England,29.6,40200
Chelsea and Fulham,England,53.7,141000
Cheltenham,England,36.7,38000
Chesham and Amersham,England,41,62400
Chesterfield,England,21.7,28600
Chichester,England,32.4,43600
Chingford and Woodford Green,England,29.4,42100
Chippenham,England,29.9,36000
Chipping Barnet,England,39.3,50400
Chorley,England,27.8,31000
Christchurch,England,24.9,34300
Cities of London and Westminster,England,54.5,138000
City of Chester,England,33.8,36700
City of Durham,England,29.3,33200
Clacton,England,13.4,27100
Cleethorpes,England,19,32200
Clwyd South,Wales,22.3,29800
Clwyd West,Wales,25.9,29800
"Coatbridge, Chryston and Bellshill",Scotland,17,30100
Colchester,England,26.9,33700
Colne Valley,England,29.8,32000
Congleton,England,31,43300
Copeland,England,23.1,33300
Corby,England,20.7,32700
Coventry North East,England,19.3,27600
Coventry North West,England,22.9,28000
Coventry South,England,26.8,32200
Crawley,England,21.5,32600
Crewe and Nantwich,England,24.2,31400
Croydon Central,England,29.6,35100
Croydon North,England,30.5,33900
Croydon South,England,35.3,45100
"Cumbernauld, Kilsyth and Kirkintilloch East",Scotland,19.8,31200
Cynon Valley,Wales,17.4,28400
Dagenham and Rainham,England,17.6,31200
Darlington,England,22,28200
Dartford,England,22.3,36900
Daventry,England,28.6,40000
Delyn,Wales,23.8,29100
Denton and Reddish,England,17.3,27500
Derby North,England,26.9,30400
Derby South,England,19.3,29100
Derbyshire Dales,England,33.8,42600
Devizes,England,28.5,39400
Dewsbury,England,22.6,32700
Don Valley,England,18.2,30600
Doncaster Central,England,18.5,28900
Doncaster North,England,14.3,28100
Dover,England,20.7,30000
Dudley North,England,17,28000
Dudley South,England,17.2,28000
Dulwich and West Norwood,England,47.6,57700
Dumfries and Galloway,Scotland,22,28100
"Dumfriesshire, Clydesdale and Tweeddale",Scotland,24.8,32400
Dundee East,Scotland,26.4,30500
Dundee West,Scotland,25.3,28100
Dunfermline and West Fife,Scotland,24.7,32000
Dwyfor Meirionnydd,Wales,25,27900
Ealing Central and Acton,England,48.4,56100
Ealing North,England,30.4,34800
"Ealing, Southall",England,30.8,33800
Easington,England,15.3,27300
East Antrim,Northern Ireland,23.9,31100
East Devon,England,31.1,33900
East Dunbartonshire,Scotland,38.3,39700
East Ham,England,29.8,30400
East Hampshire,England,34.1,45500
"East Kilbride, Strathaven and Lesmahagow",Scotland,22.5,32400
East Londonderry,Northern Ireland,22.2,29800
East Lothian,Scotland,27,36300
East Renfrewshire,Scotland,35.2,40000
East Surrey,England,31.4,50100
East Worthing and Shoreham,England,23.7,32300
East Yorkshire,England,22.9,30400
Eastbourne,England,24.4,29000
Eastleigh,England,26,34100
Eddisbury,England,30,40200
Edinburgh East,Scotland,35.2,31300
Edinburgh North and Leith,Scotland,49.5,43600
Edinburgh South,Scotland,46.9,49000
Edinburgh South West,Scotland,38.6,37300
Edinburgh West,Scotland,36.2,42400
Edmonton,England,22.3,30600
Ellesmere Port and Neston,England,23.7,31600
Elmet and Rothwell,England,27.6,39100
Eltham,England,27.8,41800
Enfield North,England,25.9,34700
"Enfield, Southgate",England,38.2,50800
Epping Forest,England,26.3,50000
Epsom and Ewell,England,36.4,47400
Erewash,England,18.9,29200
Erith and Thamesmead,England,24.9,30800
Esher and Walton,England,42.8,78400
Exeter,England,27.9,29500
Falkirk,Scotland,21.2,30000
