GII Rank,Country,GII Score,GDP,GDP(Millions),GDP (annual %),RD (% of GDP PPP)
25,Australia,47.1,1.55267E+12,1552667.363,2.105711229,1.8
17,Austria,50.2,4.80368E+11,480368.4039,4.102317176,3.2
26,Belgium,46.9,54622176471,54622.17647,5.636308193,2.9
35,Bulgaria,39.5,5.94104E+11,594104.1775,8.515249594,0.7
15,Canada,50.8,84056312734,84056.31273,3.969874711,1.5
50,Chile,34,1.98834E+12,1988336.332,10.56335959,0.4
11,China,55.3,3.17059E+11,317058.5087,8.01334526,2.2
42,Croatia,35.6,1.77341E+13,17734062.65,17.38397087,0.8
27,Cyprus,46.2,68955083280,68955.08328,5.649950249,0.5
30,Czech Republic,42.8,28407867534,28407.86753,5.437410893,2
10,Denmark,55.9,2.81778E+11,281777.8871,4.402231182,3.1
18,Estonia,50.2,3.98303E+11,398303.2728,7.899032598,1.6
9,Finland,56.9,37191166152,37191.16615,2.759998674,2.8
12,France,55,2.97302E+11,297301.8835,6.535119983,2.2
8,Germany,57.2,2.95788E+12,2957879.759,2.583557475,3.2
44,Greece,34.5,4.25993E+12,4259934.912,9.01910939,1
14,"Hong Kong, China",51.8,2.14874E+11,214873.8798,7.317151727,0.7
34,Hungary,39.8,3.69176E+11,369176.401,7.56143244,1.4
20,Iceland,49.5,1.81848E+11,181848.0222,2.70550038,1.9
40,India,36.6,25602419210,25602.41921,7.818248962,1.3
23,Ireland,48.5,3.1763E+12,3176295.065,12.50988246,1.5
16,Israel,50.2,5.04183E+11,504182.6033,6.884915876,4.9
28,Italy,46.1,4.88527E+11,488526.5459,7.331699293,1.4
13,Japan,53.6,2.1077E+12,2107702.843,2.125722232,3.2
41,Latvia,36.5,4.94088E+12,4940877.781,4.949385195,0.5
39,Lithuania,37.3,39853501580,39853.50158,5.755738526,0.9
19,Luxembourg,49.8,66445256585,66445.25659,3.518686975,1.3
36,Malaysia,38.7,85506243834,85506.24383,1.944118177,1.3
21,Malta,49.2,3.72981E+11,372980.9572,9.616240939,0.9
45,Mauritius,34.4,17364044944,17364.04494,3.677399763,0.4
5,Netherlands,58,11529042672,11529.04267,4.315704495,2.2
24,New Zealand,47.2,1.01285E+12,1012846.761,3.058028016,1.2
22,Norway,48.8,2.49886E+11,249885.687,3.326892341,1.7
38,Poland,37.5,4.82175E+11,482174.8545,7.277814545,1.3
32,Portugal,42.1,6.79445E+11,679444.8329,5.195667577,1.3
6,Republic of Korea,57.8,2.53663E+11,253663.1446,4.329207461,4.6
49,Romania,34.1,1.81096E+12,1810955.871,5.899213005,0.5
47,Russia,34.3,2.84088E+11,284087.5637,5.177234865,1
7,Singapore,57.3,1.77878E+12,1778782.626,12.19672081,2.2
46,Slovakia,34.3,3.96987E+11,396986.8999,3.233295248,0.9
33,Slovenia,40.6,1.16527E+11,116527.1011,7.92052575,2.4
29,Spain,44.6,61748586535,61748.58653,5.408112942,1.3
3,Sweden,61.6,1.42738E+12,1427380.681,4.445903958,3.4
1,Switzerland,64.6,6.35664E+11,635663.8012,3.440503207,3
43,Thailand,34.9,8.0064E+11,800640.1554,1.355957001,1
37,Turkey,38.1,8.19035E+11,819035.1829,10.51288036,1.1
31,UAE,42.1,4.15022E+11,415021.5907,3.052400524,0.7
4,UK,59.7,3.13138E+12,3131377.763,7.132720706,1.8
2,United States,61.8,2.33151E+13,23315080.56,5.820140176,3.1
48,Vietnam,34.2,3.66138E+11,366137.5906,1.699389545,0.2
