Date,GRA Purchases,PRGT 1/2/,Totals,Year,Billions,,,,,GDP,,Lending as % of GDP
08/31/2022,93769635059,15254184552,1.09024E+11,2022,109.0238196,,,,,,,
12/31/2021,89474552025,14554823681,1.04029E+11,2021,104.0293757,,,,,9.61E+13,,0.108251171
12/31/2020,93408630285,12481816684,1.0589E+11,2020,105.890447,,,,,8.491E+13,,0.124709041
12/31/2019,66945509865,6590835450,73536345315,2019,73.53634532,,,,,8.765E+13,,0.083897713
12/31/2018,55395611392,6426181029,61821792421,2018,61.82179242,,,,,8.641E+13,,0.07154472
12/31/2017,39585385873,6522280669,46107666542,2017,46.10766654,,,,,8.14E+13,,0.056643325
12/31/2016,49267630851,6482647937,55750278788,2016,55.75027879,,,,,7.647E+13,,0.072904772
12/31/2015,50757840741,6575911158,57333751899,2015,57.3337519,,,,,7.518E+13,,0.076261974
12/31/2014,69041563463,6292755583,75334319046,2014,75.33431905,,,,,7.971E+13,,0.094510499
12/31/2013,83899249061,6174392682,90073641743,2013,90.07364174,,,,,7.761E+13,,0.116059324
12/31/2012,90042348252,5766292503,95808640755,2012,95.80864076,,,,,7.549E+13,,0.126915672
12/31/2011,87276915790,5308609594,92585525384,2011,92.58552538,,,,,7.385E+13,,0.125369703
12/31/2010,55620104510,4819344134,60439448644,2010,60.43944864,,,,,6.66E+13,,0.090749923
12/31/2009,37221142436,5079705286,42300847722,2009,42.30084772,,,,,6.081E+13,,0.069562322
12/31/2008,17514964723,3972372030,21487336753,2008,21.48733675,,,,,6.412E+13,,0.03351113
12/31/2007,6036146757,3796945581,9833092338,2007,9.833092338,,,,,5.836E+13,,0.016849027
12/31/2006,9822640239,3844020520,13666660759,2006,13.66666076,,,,,5.178E+13,,0.026393706
12/31/2005,28432143237,6282121668,34714264905,2005,34.71426491,,,,,4.778E+13,,0.072654384
12/31/2004,55373766674,6766029353,62139796027,2004,62.13979603,,,,,4.412E+13,,0.140842693
12/31/2003,65032062712,6880893268,71912955980,2003,71.91295598,,,,,3.915E+13,,0.183685711
12/31/2002,63601058794,6868671012,70469729806,2002,70.46972981,,,,,3.491E+13,,0.201861157
12/31/2001,53477225409,6424578684,59901804093,2001,59.90180409,,,,,3.362E+13,,0.178173123
12/31/2000,42990531049,6331595468,49322126517,2000,49.32212652,,,,,3.383E+13,,0.145794048
12/31/1999,51061861875,6434274362,57496136237,1999,57.49613624,,,,,3.274E+13,,0.175614344
12/31/1998,60451017051,6288825925,66739842976,1998,66.73984298,,,,,3.154E+13,,0.211603814
12/31/1997,46559033783,6009867422,52568901205,1997,52.56890121,,,,,3.162E+13,,0.166252059
12/31/1996,36127472805,5881609752,42009082557,1996,42.00908256,,,,,3.174E+13,,0.132353757
12/31/1995,35929173412,5657438528,41586611940,1995,41.58661194,,,,,3.104E+13,,0.133977487
12/31/1994,25611676952,4599768498,30211445450,1994,30.21144545,,,,,2.787E+13,,0.108401311
12/31/1993,25196745031,3942792899,29139537930,1993,29.13953793,,,,,2.582E+13,,0.11285646
12/31/1992,23967172718,3804463796,27771636514,1992,27.77163651,,,,,2.541E+13,,0.109294122
12/31/1991,23378573926,3285717796,26664291722,1991,26.66429172,,,,,2.376E+13,,0.11222345
12/31/1990,20731851093,2571911617,23303762710,1990,23.30376271,,,,,2.278E+13,,0.102299222
12/31/1989,22315104224,2334886562,24649990786,1989,24.64999079,,,,,2.019E+13,,0.122090098
12/31/1988,24750004884,1773964293,26523969177,1988,26.52396918,,,,,1.934E+13,,0.137145652
12/31/1987,28751979125,1866342930,30618322055,1987,30.61832206,,,,,1.731E+13,,0.176882276
12/31/1986,33334905644,2013169931,35348075575,1986,35.34807558,,,,,1.521E+13,,0.232400234
12/31/1985,35194787249,2470247948,37665035197,1985,37.6650352,,,,,1.286E+13,,0.292885188
12/31/1984,34936772393,2769874900,37706647293,1984,37.70664729,,,,,1.227E+13,,0.307307639
,,,,,,,,,,,,
,,,,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,,,
,,,,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,,,
