Region ,Answer,Total,Total (%)
London,Would,70,53
London,Would Not,53,40.3
London,Don't Know,9,6.7
Midlands,Would,81,49.9
Midlands,Would Not,77,47.4
Midlands,Don't Know,4,2.6
North,Would,127,54
North,Would Not,96,40.6
North,Don't Know,13,5.4
South,Would,320,52
South,Would Not,140,43.8
South,Don't Know,13,4.2
England,Would,445,52.3
England,Would Not,366,43.1
England,Don't Know,39,4.6
Scotland,Would,47,55.1
Scotland,Would Not,34,40
Scotland,Don't Know,4,4.9
Wales,Would,17,34.1
Wales,Would Not,30,62.7
Wales,Don't Know,2,3.2
