ons_id,constituency_name,country_name,MP Name,mp_firstname,mp_surname,mp_gender,result,winning_party,majority
W07000049,Aberavon,Wales,Stephen Kinnock,Stephen,Kinnock,Male,Lab hold,Lab,10490
W07000058,Aberconwy,Wales,Robin Millar,Robin,Millar,Male,Con hold,Con,2034
S14000001,Aberdeen North,Scotland,Kirsty Blackman,Kirsty,Blackman,Female,SNP hold,SNP,12670
S14000002,Aberdeen South,Scotland,Stephen Flynn,Stephen,Flynn,Male,SNP gain from Con,SNP,3990
S14000003,Airdrie and Shotts,Scotland,Neil Gray,Neil,Gray,Male,SNP hold,SNP,5201
E14000530,Aldershot,England,Leo Docherty,Leo,Docherty,Male,Con hold,Con,16698
E14000531,Aldridge-Brownhills,England,Wendy Morton,Wendy,Morton,Female,Con hold,Con,19836
E14000532,Altrincham and Sale West,England,Graham Brady,Graham,Brady,Male,Con hold,Con,6139
W07000043,Alyn and Deeside,Wales,Mark Tami,Mark,Tami,Male,Lab hold,Lab,213
E14000533,Amber Valley,England,Nigel Mills,Nigel,Mills,Male,Con hold,Con,16886
S14000004,Angus,Scotland,Dave Doogan,Dave,Doogan,Male,SNP gain from Con,SNP,3795
W07000057,Arfon,Wales,Hywel Williams,Hywel,Williams,Male,PC hold,PC,2781
S14000005,Argyll and Bute,Scotland,Brendan O'Hara,Brendan,O'Hara,Male,SNP hold,SNP,4110
E14000534,Arundel and South Downs,England,Andrew Griffith,Andrew,Griffith,Male,Con hold,Con,22521
E14000535,Ashfield,England,Lee Anderson,Lee,Anderson,Male,Con gain from Lab,Con,5733
E14000536,Ashford,England,Damian Green,Damian,Green,Male,Con hold,Con,24029
E14000537,Ashton-Under-Lyne,England,Angela Rayner,Angela,Rayner,Female,Lab hold,Lab,4263
E14000538,Aylesbury,England,Rob Butler,Rob,Butler,Male,Con hold,Con,17373
S14000006,"Ayr, Carrick and Cumnock",Scotland,Allan Dorans,Allan,Dorans,Male,SNP gain from Con,SNP,2329
E14000539,Banbury,England,Victoria Prentis,Victoria,Prentis,Female,Con hold,Con,16813
S14000007,Banff and Buchan,Scotland,David Duguid,David,Duguid,Male,Con hold,Con,4118
E14000540,Barking,England,Margaret Hodge,Margaret,Hodge,Female,Lab hold,Lab,15427
E14000541,Barnsley Central,England,Daniel Jarvis,Daniel,Jarvis,Male,Lab hold,Lab,3571
E14000542,Barnsley East,England,Stephanie Peacock,Stephanie,Peacock,Female,Lab hold,Lab,3217
E14000543,Barrow and Furness,England,Simon Fell,Simon,Fell,Male,Con gain from Lab Coop,Con,5789
E14000544,Basildon and Billericay,England,John Baron,John,Baron,Male,Con hold,Con,20412
E14000545,Basingstoke,England,Maria Miller,Maria,Miller,Female,Con hold,Con,14198
E14000546,Bassetlaw,England,Brendan Clarke-Smith,Brendan,Clarke-Smith,Male,Con gain from Lab,Con,14013
E14000547,Bath,England,Wera Hobhouse,Wera,Hobhouse,Female,LD hold,LD,12322
E14000548,Batley and Spen,England,Tracy Brabin,Tracy,Brabin,Female,Lab hold,Lab,3525
E14000549,Battersea,England,Marsha De Cordova,Marsha,De Cordova,Female,Lab hold,Lab,5668
E14000550,Beaconsfield,England,Joy Morrissey,Joy,Morrissey,Female,Con hold,Con,15712
E14000551,Beckenham,England,Bob Stewart,Bob,Stewart,Male,Con hold,Con,14258
E14000552,Bedford,England,Mohammad Yasin,Mohammad,Yasin,Male,Lab hold,Lab,145
N06000001,Belfast East,Northern Ireland,Gavin Robinson,Gavin,Robinson,Male,DUP hold,DUP,1819
N06000002,Belfast North,Northern Ireland,John Finucane,John,Finucane,Male,SF gain from DUP,SF,1943
N06000003,Belfast South,Northern Ireland,Claire Hanna,Claire,Hanna,Female,SDLP gain from DUP,SDLP,15401
N06000004,Belfast West,Northern Ireland,Paul Maskey,Paul,Maskey,Male,SF hold,SF,14672
E14000553,Bermondsey and Old Southwark,England,Neil Coyle,Neil,Coyle,Male,Lab hold,Lab,16126
S14000008,"Berwickshire, Roxburgh and Selkirk",Scotland,John Lamont,John,Lamont,Male,Con hold,Con,5148
E14000554,Berwick-upon-Tweed,England,Anne-Marie Trevelyan,Anne-Marie,Trevelyan,Female,Con hold,Con,14835
